source	dest	fft	coef	power	capacity
19096	4332	3.635619	0.8	2.3	2400000.0
10872	25544	0.532038	1.12	2.0	96000.0
40128	20746	0.972905	1.12	2.0	192000.0
28198	6050	0.323735	1.12	2.0	48043.0
30147	855	2.343022	0.8	2.3	2400000.0
13872	40835	2.269488	0.8	2.3	31581.0
31073	20894	0.912906	1.572944	2.0	33129.0
35320	20836	0.451941	0.12	3.2	169416.0
384	39791	3.73981	0.8	2.3	2400000.0
27704	38640	2.571281	0.8	2.3	33457.0
30378	380	7.847385	0.8	2.3	2400000.0
4292	37538	2.822302	0.8	2.3	2400000.0
35886	4884	1.028102	1.12	2.0	82684.0
36234	966	3.04426	0.8	2.3	2400000.0
20792	23657	2.892828	0.92	2.3	31581.0
44453	27132	0.072919	0.8	2.3	105600.0
24240	23328	0.733513	1.12	2.0	96000.0
24565	5614	0.46465	1.881291	2.0	31581.0
4368	6310	6.853217	0.8	2.3	2400000.0
6476	23981	2.0	1.881291	2.0	24000.0
44501	39969	0.362267	0.92	2.3	33129.0
42101	30489	0.331009	1.881291	2.0	31581.0
14927	29183	3.728742	0.8	2.3	66915.0
895	10220	1.790742	0.8	2.3	2400000.0
44436	520	4.318425	0.8	2.3	2400000.0
41233	12419	0.34629	0.8	2.3	103767.0
41472	36804	2.577921	0.92	2.3	31581.0
41396	26087	0.783971	0.8	2.3	66259.0
19800	5629	0.682176	1.12	2.0	96000.0
38964	21374	0.127401	0.92	2.3	31581.0
42710	17079	1.567407	1.12	2.0	51422.0
42929	5529	0.040266	0.92	2.3	31581.0
10582	36671	0.026668	0.92	2.3	31581.0
11355	24308	0.105042	0.12	3.2	112224.0
29234	896	4.287487	0.8	2.3	2400000.0
35579	31343	4.637188	0.8	2.3	98967.0
30452	28474	5.075629	1.881291	2.0	31581.0
18744	6307	1.349075	1.12	2.0	101884.0
26170	6278	0.374432	1.881291	2.0	31581.0
22128	22062	0.191546	0.12	3.2	112224.0
17079	23673	0.222221	1.12	2.0	105600.0
29818	38252	1.240109	1.881291	2.0	31581.0
42138	37981	0.783693	0.8	2.3	31581.0
18075	11529	0.255215	1.572944	2.0	66259.0
21534	32275	0.41933	0.8	2.3	155650.0
32079	6409	0.211036	1.881291	2.0	31581.0
19103	39193	0.01837	0.8	2.3	103767.0
38826	38207	2.0	0.92	2.3	24000.0
31220	8439	0.305277	0.8	2.3	102844.0
40534	16179	5.500145	0.92	2.3	33129.0
33799	21668	0.708463	1.881291	2.0	31581.0
448	7976	3.324313	0.8	2.3	2400000.0
35908	33925	0.223052	1.881291	2.0	33129.0
33797	36425	0.837517	1.881291	2.0	31581.0
26071	18472	24.571239	0.92	2.3	31581.0
34160	475	4.314182	0.8	2.3	2400000.0
18016	30053	0.194947	0.8	2.3	103767.0
40497	814	4.936094	0.8	2.3	2400000.0
9753	6094	0.157552	0.12	3.2	112224.0
29147	3185	6.285331	0.8	2.3	2400000.0
40850	15060	1.65308	1.12	2.0	103767.0
23147	16510	0.073096	1.881291	2.0	31581.0
802	27939	0.323137	0.8	2.3	2400000.0
11606	12576	1.201686	1.12	2.0	51422.0
26889	41080	0.559811	0.8	2.3	89404.0
10285	39156	0.260893	0.12	3.2	169416.0
21663	21557	2.0	0.92	2.3	24000.0
16586	6940	2.711156	0.92	2.3	31581.0
655	35156	2.007407	0.8	2.3	2400000.0
305	11892	7.715057	0.8	2.3	2400000.0
33260	8797	3.015729	1.12	2.0	51883.0
35705	40144	0.302509	2.0	2.35	115200.0
32837	41803	6.851858	1.881291	2.0	31581.0
11401	33551	7.060721	0.8	2.3	66259.0
3320	16768	7.077334	0.8	2.3	2400000.0
6858	12991	1.012232	0.92	2.3	31581.0
26442	17867	2.766574	1.572944	2.0	33457.0
16931	25161	2.194676	1.881291	2.0	31581.0
12413	6248	1.397762	2.0	2.35	172800.0
3858	39638	0.984001	0.8	2.3	4800000.0
6973	3329	5.074141	0.8	2.3	2400000.0
33722	10459	2.0	0.92	2.3	24000.0
12291	41349	1.132654	0.8	2.3	100429.0
33652	18398	0.31282	0.92	2.3	31581.0
39477	39967	0.018112	0.12	3.2	112224.0
19735	8127	0.171151	0.12	3.2	112224.0
30755	34152	2.0	1.881291	2.0	24000.0
24365	36887	0.866174	0.8	2.3	96000.0
39306	19779	1.790587	1.12	2.0	48000.0
4439	19843	1.73839	0.8	2.3	2400000.0
33792	7773	2.0	1.12	2.0	24000.0
21808	42215	5.434012	0.8	2.3	103767.0
42055	5512	2.0	0.12	3.2	24000.0
903	42938	5.490729	0.8	2.3	2400000.0
20904	33511	2.0	0.92	2.3	24000.0
25660	297	13.160716	0.8	2.3	2400000.0
23953	12317	0.992607	1.12	2.0	103767.0
3850	14790	0.984001	0.8	2.3	4800000.0
5386	34357	2.128428	1.881291	2.0	31581.0
34016	27487	0.751615	0.12	3.2	112224.0
8072	20935	0.725344	1.12	2.0	101884.0
10105	14604	0.029712	0.92	2.3	33129.0
29137	952	1.741526	0.8	2.3	2400000.0
