source	dest	fft	coef	power	capacity
28840	3433	14.771862	0.8	2.3	2400000.0
40284	12662	0.097459	1.572944	2.0	31581.0
40207	22433	0.073439	1.12	2.0	102759.0
22307	1564	1.318885	0.8	2.3	2400000.0
1319	24881	6.059333	0.8	2.3	2400000.0
39934	36579	0.046982	0.92	2.3	31581.0
10978	24621	1.161412	1.12	2.0	105600.0
22784	21008	0.50028	0.8	2.3	52238.0
10478	25460	0.108176	0.92	2.3	31581.0
32345	17695	0.997343	1.12	2.0	51380.0
31843	43776	0.177016	0.92	2.3	31581.0
1542	20519	13.977407	0.8	2.3	2400000.0
37520	12433	0.544138	1.881291	2.0	31581.0
10306	17905	3.698925	1.881291	2.0	31581.0
29845	17297	2.0	0.92	2.3	24000.0
29204	41367	0.255135	0.8	2.3	102759.0
1352	17325	11.107692	0.8	2.3	2400000.0
28583	38459	1.004704	1.881291	2.0	31581.0
39653	41594	0.05391	0.8	2.3	31581.0
5968	15684	0.564121	0.92	2.3	31581.0
34015	24384	2.606427	0.8	2.3	4800000.0
11858	14446	0.871035	1.881291	2.0	31581.0
42620	4810	3.438383	0.8	2.3	31581.0
40469	34403	0.884424	1.12	2.0	102759.0
14290	5391	5.540977	1.881291	2.0	31581.0
1138	10326	19.929312	0.8	2.3	2400000.0
38457	11605	0.145331	1.12	2.0	101884.0
20323	15964	8.130904	1.572944	2.0	31581.0
3827	42933	3.357459	0.8	2.3	2400000.0
17955	39733	2.0	1.881291	2.0	24000.0
43166	25665	2.537236	1.572944	2.0	31581.0
43428	14043	2.18176	1.12	2.0	95079.0
27714	35639	2.392404	1.572944	2.0	31581.0
14340	34928	2.275376	1.12	2.0	47582.0
8428	5164	1.822145	0.8	2.3	102844.0
35928	9569	2.0	0.92	2.3	24000.0
43374	21884	4.796159	0.92	2.3	31581.0
16932	36134	2.489555	0.92	2.3	31581.0
34660	17325	5.736511	1.881291	2.0	31581.0
34000	24955	0.629976	0.8	2.3	95164.0
40611	35245	0.788866	0.92	2.3	63163.0
40260	29830	0.404744	0.12	3.2	169920.0
1469	16497	0.927653	0.8	2.3	2400000.0
11097	16914	0.390953	1.881291	2.0	63163.0
10262	43703	1.883924	1.572944	2.0	33129.0
36936	17022	7.327781	0.8	2.3	4800000.0
18666	41813	0.923849	1.881291	2.0	31581.0
35299	8019	0.228595	0.92	2.3	31581.0
40488	17419	3.104766	1.572944	2.0	63163.0
41828	28910	0.243267	1.881291	2.0	31581.0
28832	38865	4.37745	1.881291	2.0	31581.0
9593	35838	4.092516	1.881291	2.0	63163.0
26584	34440	0.17755	0.8	2.3	31581.0
38298	28709	0.125548	0.92	2.3	31581.0
26573	26477	0.080133	0.92	2.3	31581.0
5522	13938	12.563117	1.572944	2.0	33129.0
20261	1558	5.681385	0.8	2.3	2400000.0
5306	21682	2.0	1.881291	2.0	24000.0
27490	31637	0.07868	1.881291	2.0	31581.0
37484	10680	0.634479	1.12	2.0	102844.0
11969	13341	4.560061	1.572944	2.0	31581.0
42849	5992	0.725235	1.572944	2.0	31581.0
20103	32263	0.23599	1.881291	2.0	31581.0
41724	25551	0.155527	0.8	2.3	33129.0
38691	32911	0.236664	0.8	2.3	105600.0
18810	9548	2.086548	1.12	2.0	102759.0
12803	27995	2.349481	0.92	2.3	31581.0
1404	42598	0.642378	0.8	2.3	2400000.0
5012	23027	1.135115	0.8	2.3	63163.0
43213	1304	3.808463	0.8	2.3	2400000.0
1196	9665	4.397692	0.8	2.3	2400000.0
44572	40404	2.0	0.92	2.3	24000.0
25285	38285	0.391651	0.92	2.3	31581.0
38596	42436	2.0	0.92	2.3	24000.0
8214	27021	1.453224	1.12	2.0	145625.0
44316	39212	2.0	1.881291	2.0	24000.0
8232	35772	2.0	1.881291	2.0	24000.0
23565	36116	0.38185	0.92	2.3	31581.0
29594	34261	0.18221	1.12	2.0	102844.0
38333	43089	4.60721	1.572944	2.0	31581.0
32211	31240	0.017796	0.92	2.3	31581.0
21335	43700	2.0	0.92	2.3	24000.0
39874	10061	4.138106	1.881291	2.0	31581.0
17024	7415	2.285124	1.881291	2.0	31581.0
41707	1564	3.356542	0.8	2.3	2400000.0
12948	11286	3.823967	1.12	2.0	103767.0
39589	5239	0.941706	1.12	2.0	152825.0
36733	10124	0.085923	0.12	3.2	112224.0
34032	1185	5.1608	0.8	2.3	2400000.0
21987	21692	0.092156	0.8	2.3	101884.0
31425	37288	0.241221	1.881291	2.0	33457.0
7617	27891	2.0	1.881291	2.0	24000.0
13134	17762	2.704586	1.881291	2.0	31581.0
11111	28942	3.137062	0.8	2.3	4800000.0
29798	41661	3.496672	0.8	2.3	31581.0
15383	17445	2.0	1.881291	2.0	24000.0
1289	10300	1.816594	0.8	2.3	2400000.0
27858	26960	0.048087	0.92	2.3	31581.0
1440	12888	1.685949	0.8	2.3	2400000.0
15243	12335	0.030258	0.92	2.3	31581.0
19866	21988	2.0	1.881291	2.0	24000.0
27004	18327	3.44347	0.8	2.3	31581.0
30143	6772	0.236866	1.881291	2.0	31581.0
33883	36269	2.0	0.92	2.3	24000.0
1512	16435	10.998018	0.8	2.3	2400000.0
24643	27781	0.034622	0.12	3.2	56112.0
27562	6345	1.010011	1.12	2.0	51422.0
21700	39530	2.0	0.92	2.3	24000.0
32555	25361	0.367951	1.881291	2.0	69271.0
38355	1340	1.630223	0.8	2.3	2400000.0
23198	43938	6.608287	0.8	2.3	51883.0
28926	11123	1.398744	0.8	2.3	44702.0
13627	24001	4.802253	1.881291	2.0	31581.0
19973	8447	0.525811	1.12	2.0	105600.0
25811	44196	0.026348	1.12	2.0	51422.0
41798	1204	3.390918	0.8	2.3	2400000.0
21338	18977	0.329942	2.0	2.35	115200.0
18207	10117	0.896469	1.12	2.0	97084.0
27460	6603	0.081304	0.8	2.3	63163.0
18522	40013	2.0	0.92	2.3	24000.0
37575	41757	0.403625	1.881291	2.0	31581.0
5464	6736	0.155403	0.92	2.3	31581.0
27367	19046	1.771999	0.92	2.3	31581.0
1568	9537	21.644007	0.8	2.3	2400000.0
29262	1417	12.092446	0.8	2.3	2400000.0
15591	42519	4.790647	1.881291	2.0	31581.0
