source	dest	fft	coef	power	capacity
26034	37189	0.702456	1.12	2.0	44702.0
12118	14955	6.399069	0.92	2.3	31581.0
34588	24287	3.075049	0.92	2.3	31581.0
9912	2082	11.715609	0.8	2.3	2400000.0
23058	20447	4.355703	0.92	2.3	31581.0
18810	35801	11.938873	0.8	2.3	105600.0
33802	12579	1.336183	1.881291	2.0	31581.0
31391	33879	0.0573	1.881291	2.0	31581.0
22519	31118	0.264792	0.92	2.3	31581.0
5142	31119	2.069188	2.0	2.35	115200.0
6301	33234	0.047354	0.8	2.3	51380.0
31762	25303	0.943795	0.92	2.3	31581.0
24978	41234	0.597643	0.8	2.3	51422.0
25530	2589	3.165715	0.8	2.3	2400000.0
29697	42301	1.219228	1.881291	2.0	31581.0
22882	32030	0.027348	1.881291	2.0	31581.0
28052	16449	2.069422	0.92	2.3	31581.0
41544	6146	0.477489	0.92	2.3	31581.0
10746	19495	1.813369	1.881291	2.0	31581.0
36898	37911	1.68591	1.12	2.0	51422.0
28384	2106	3.39602	0.8	2.3	2400000.0
43096	38975	1.058807	1.881291	2.0	31581.0
5979	2637	0.757994	0.8	2.3	2400000.0
44710	23537	4.151396	1.881291	2.0	31581.0
27355	44714	0.153579	0.8	2.3	102759.0
26343	32649	0.978456	1.881291	2.0	31581.0
28709	39318	4.22491	0.92	2.3	31581.0
19668	7080	0.82309	0.92	2.3	31581.0
33939	18750	1.139859	0.92	2.3	31581.0
40487	16765	0.184277	0.12	3.2	169920.0
21919	22919	2.0	1.881291	2.0	24000.0
36652	33856	8.087449	1.572944	2.0	33129.0
18928	11681	12.196758	0.8	2.3	31581.0
21723	42994	0.988043	0.92	2.3	31581.0
41972	35823	0.062764	1.12	2.0	52800.0
13896	5445	0.314325	0.12	3.2	112224.0
2560	22478	1.165586	0.8	2.3	2400000.0
23917	42154	0.133365	0.8	2.3	101884.0
40450	40747	0.486243	1.12	2.0	82684.0
19035	16481	0.088886	0.92	2.3	31581.0
28052	24430	2.129763	0.8	2.3	33457.0
26432	5355	3.242951	1.881291	2.0	31581.0
8209	21716	2.334049	1.881291	2.0	31581.0
13839	9155	0.035786	1.572944	2.0	33457.0
3586	7010	1.242279	0.8	2.3	2400000.0
16560	20446	6.979465	0.8	2.3	63163.0
14522	26144	2.0	1.881291	2.0	24000.0
43252	33636	1.657132	1.572944	2.0	33129.0
27524	42663	4.291922	1.881291	2.0	33129.0
38975	24361	2.0	1.881291	2.0	24000.0
24444	7217	1.026791	0.92	2.3	31581.0
2395	21026	6.134569	0.8	2.3	2400000.0
16936	40475	7.087554	0.92	2.3	31581.0
21716	8209	2.334049	0.92	2.3	31581.0
31743	44760	0.211821	0.12	3.2	112224.0
2459	10172	6.129721	0.8	2.3	2400000.0
1924	17116	7.195628	0.8	2.3	2400000.0
