source	dest	fft	coef	power	capacity
10478	25460	0.108176	0.92	2.3	31581.0
31843	43776	0.177016	0.92	2.3	31581.0
28583	38459	1.004704	1.881291	2.0	31581.0
25466	13502	0.086008	0.92	2.3	31581.0
1660	14938	8.860604	0.8	2.3	2400000.0
40194	42334	0.056814	0.8	2.3	152825.0
18421	38104	0.028325	0.8	2.3	104475.0
20331	40830	2.179213	1.881291	2.0	31581.0
30953	28124	2.643321	0.92	2.3	31581.0
37789	22565	0.055043	0.8	2.3	41342.0
35178	9516	2.0	0.92	2.3	24000.0
38298	28709	0.125548	0.92	2.3	31581.0
26573	26477	0.080133	0.92	2.3	31581.0
17166	26610	2.0	0.92	2.3	24000.0
42785	32538	0.126819	0.8	2.3	33457.0
24724	27836	0.298799	0.8	2.3	63163.0
29131	39956	0.406496	0.8	2.3	31581.0
5464	6736	0.155403	0.92	2.3	31581.0
19795	37259	0.140406	0.8	2.3	33457.0
44403	23831	0.303249	0.92	2.3	31581.0
16229	6501	0.19369	0.92	2.3	31581.0
42739	36432	4.778711	1.881291	2.0	31581.0
15431	40760	0.086737	1.881291	2.0	31581.0
36377	31113	0.148823	0.92	2.3	31581.0
25017	39143	0.470438	1.881291	2.0	31581.0
12583	7568	0.660498	0.92	2.3	31581.0
12703	21364	1.212986	0.92	2.3	31581.0
22591	26855	0.72616	1.881291	2.0	31581.0
10115	6332	0.656689	0.8	2.3	94204.0
37657	39705	0.687161	0.92	2.3	31581.0
8710	31454	2.625217	0.8	2.3	33457.0
34586	12811	3.449674	0.8	2.3	49483.0
43482	6170	2.562167	1.881291	2.0	31581.0
7475	34908	0.167621	0.92	2.3	31581.0
37667	34078	0.660964	0.12	3.2	112224.0
1163	17259	1.798486	0.8	2.3	2400000.0
30869	16171	1.767122	0.8	2.3	50942.0
10877	22721	0.271825	0.92	2.3	31581.0
1613	34078	0.901373	0.8	2.3	2400000.0
12184	28686	0.045165	0.8	2.3	51883.0
28870	31112	2.028523	1.881291	2.0	31581.0
13502	26211	0.087761	0.92	2.3	31581.0
41350	1153	4.660266	0.8	2.3	2400000.0
4222	43482	9.425332	0.8	2.3	2400000.0
6431	4696	0.31334	0.8	2.3	155650.0
39998	20451	2.0	0.92	2.3	24000.0
21135	1623	0.90929	0.8	2.3	2400000.0
35405	25398	1.564563	0.8	2.3	31581.0
35225	8710	0.024469	0.8	2.3	33457.0
43788	23778	2.0	0.92	2.3	24000.0
22846	27496	0.157627	0.8	2.3	31581.0
37181	7661	0.629764	1.572944	2.0	31581.0
37202	23109	0.123566	0.8	2.3	31581.0
21567	19523	0.289915	0.8	2.3	33457.0
17682	40725	2.0	1.881291	2.0	24000.0
32063	32662	0.61144	0.12	3.2	112224.0
5746	28351	0.172944	0.92	2.3	31581.0
13016	23379	0.066114	0.8	2.3	51883.0
11572	9141	1.067716	0.8	2.3	66915.0
23960	34028	0.249042	0.92	2.3	31581.0
19629	1151	15.709705	0.8	2.3	2400000.0
4224	36569	18.795435	0.8	2.3	2400000.0
8024	31631	0.077417	0.92	2.3	31581.0
16084	32963	0.27498	0.92	2.3	31581.0
44142	9768	1.128505	0.8	2.3	33457.0
32588	36136	2.0	0.92	2.3	24000.0
26872	35501	0.093708	0.92	2.3	31581.0
11044	1624	31.032164	0.8	2.3	2400000.0
25132	5817	10.989248	1.881291	2.0	31581.0
1162	29924	1.263091	0.8	2.3	2400000.0
11913	30743	0.06499	0.92	2.3	31581.0
26336	39820	2.0	0.92	2.3	24000.0
41321	26276	1.446654	1.881291	2.0	31581.0
42281	36636	1.165846	0.92	2.3	31581.0
31800	7204	0.281926	0.8	2.3	51883.0
31829	29131	1.419713	0.8	2.3	31581.0
43842	36931	2.0	0.92	2.3	24000.0
15666	8227	0.018095	0.92	2.3	31581.0
1601	17656	3.034083	0.8	2.3	2400000.0
22261	8059	1.874424	0.92	2.3	33017.0
13186	29920	0.17559	0.92	2.3	31581.0
10884	39273	23.730335	0.8	2.3	4800000.0
24058	42455	0.053189	1.881291	2.0	31581.0
31170	41898	0.873884	0.8	2.3	66915.0
28583	38375	0.483013	2.0	2.35	115200.0
32348	11374	0.167884	0.92	2.3	31581.0
30344	38995	0.765936	0.8	2.3	105600.0
25490	11973	0.915808	0.8	2.3	33457.0
41852	16889	0.087665	0.8	2.3	33129.0
29613	43420	2.0	0.92	2.3	24000.0
24666	33628	2.0	0.92	2.3	24000.0
34540	14161	0.151521	0.92	2.3	31581.0
19894	14530	0.017423	0.8	2.3	33457.0
20724	40516	0.492681	0.8	2.3	82684.0
21392	11044	2.155496	0.8	2.3	66915.0
23989	27269	0.487063	0.92	2.3	31581.0
41058	13963	0.140813	0.8	2.3	155650.0
37824	21280	0.967402	0.8	2.3	31581.0
14161	34540	0.151521	0.92	2.3	31581.0
11374	15096	0.043503	0.92	2.3	31581.0
42896	10383	1.246052	1.572944	2.0	31581.0
44142	15053	0.212463	0.8	2.3	33457.0
25398	43277	0.012854	1.572944	2.0	31581.0
32677	42762	0.070985	0.8	2.3	33457.0
41644	41676	1.886255	0.8	2.3	66259.0
1618	25927	2.019085	0.8	2.3	2400000.0
6986	20077	0.054331	0.92	2.3	31581.0
26077	29354	4.838306	0.8	2.3	63163.0
11297	17035	1.610466	0.8	2.3	31581.0
13334	41614	0.084309	0.92	2.3	31581.0
24057	34078	0.928965	1.12	2.0	41342.0
41274	35030	0.089412	0.8	2.3	52800.0
39004	12085	2.0	0.8	2.3	24000.0
19754	6932	0.089876	0.92	2.3	31581.0
22361	6778	0.060262	0.8	2.3	66259.0
10383	39482	1.432294	0.8	2.3	31581.0
36970	4756	0.693396	0.8	2.3	33457.0
17362	11163	0.370161	0.92	2.3	31581.0
30173	34553	3.265112	0.8	2.3	4800000.0
16917	13058	0.24141	0.92	2.3	31581.0
27570	10135	1.942024	0.8	2.3	31581.0
39490	35744	0.134232	0.92	2.3	31581.0
8239	12854	6.624507	0.92	2.3	31581.0
20722	42182	0.372534	0.8	2.3	51380.0
35965	22344	0.993671	0.8	2.3	31581.0
42528	22942	2.0	0.92	2.3	24000.0
21912	8926	0.111905	0.92	2.3	31581.0
24683	28752	2.0	1.881291	2.0	24000.0
25460	10478	0.108176	0.92	2.3	31581.0
31014	15733	0.774395	0.8	2.3	33457.0
29963	8973	2.0	0.92	2.3	24000.0
9785	42739	3.414173	1.881291	2.0	31581.0
44482	12428	0.190227	0.8	2.3	31581.0
40802	4966	2.282509	0.92	2.3	31581.0
37824	18716	0.058402	0.8	2.3	31581.0
37256	9939	14.028842	0.8	2.3	33129.0
19244	13209	0.14584	0.92	2.3	31581.0
39723	36161	0.599845	1.881291	2.0	31581.0
8939	27413	0.597198	0.92	2.3	31581.0
29586	32955	0.162961	0.8	2.3	101884.0
24279	42233	0.05813	0.92	2.3	31581.0
19304	13523	2.0	0.92	2.3	24000.0
30579	11575	0.08889	0.92	2.3	31581.0
26632	44520	2.0	0.92	2.3	24000.0
20722	21135	0.078165	1.12	2.0	51380.0
18889	37399	2.0	0.92	2.3	24000.0
1707	37739	1.096601	0.8	2.3	2400000.0
38645	29422	0.059426	0.8	2.3	101884.0
20433	27596	1.108542	0.92	2.3	31581.0
16889	9939	0.139607	0.8	2.3	33129.0
14442	26855	0.10999	1.881291	2.0	31581.0
41674	14238	0.408649	0.92	2.3	31581.0
28829	32035	0.012227	0.8	2.3	101884.0
1611	12072	0.995685	0.8	2.3	2400000.0
32489	19558	0.07572	0.8	2.3	31581.0
23778	32276	2.0	0.92	2.3	24000.0
27496	31888	0.439304	0.8	2.3	31581.0
34078	28727	0.441071	0.12	3.2	112224.0
10019	14799	1.224167	0.8	2.3	52800.0
18421	17259	0.67665	0.8	2.3	101884.0
14799	35030	0.018598	0.8	2.3	52800.0
5945	20219	0.203946	0.92	2.3	31581.0
40683	38627	2.0	0.92	2.3	24000.0
35365	11100	5.584012	1.572944	2.0	33457.0
4966	34682	0.249563	0.92	2.3	31581.0
42528	43966	0.479377	0.92	2.3	31581.0
44769	23336	2.0	0.92	2.3	24000.0
4217	25195	4.167372	0.8	2.3	2400000.0
8526	5464	0.356064	0.92	2.3	31581.0
37399	19069	2.0	0.92	2.3	24000.0
18652	29816	3.127372	0.8	2.3	66915.0
6543	1624	3.377541	0.8	2.3	2400000.0
27861	33527	0.125529	0.8	2.3	155650.0
18876	36350	0.041777	1.881291	2.0	31581.0
36610	18652	0.117973	0.8	2.3	66915.0
23578	34425	2.0	1.881291	2.0	24000.0
27965	16193	2.0	0.92	2.3	24000.0
10341	29618	0.135611	1.12	2.0	51883.0
30315	35396	2.0	0.92	2.3	24000.0
14949	21392	0.072996	0.8	2.3	66915.0
