source	dest	fft	coef	power	capacity
20323	15964	8.130904	1.572944	2.0	31581.0
27409	44724	0.633652	0.12	3.2	169416.0
11881	7283	2.0	0.92	2.3	24000.0
40717	44734	0.297229	0.92	2.3	31581.0
4759	25965	0.073897	2.0	2.35	115200.0
14666	17601	6.005208	1.881291	2.0	31581.0
44736	15126	6.786826	1.881291	2.0	31581.0
15126	44736	6.786826	1.881291	2.0	31581.0
18122	36854	0.652819	0.8	2.3	105600.0
35261	7795	0.156566	0.92	2.3	63163.0
39690	7303	0.104087	0.8	2.3	31581.0
44720	33513	2.0	1.881291	2.0	24000.0
17601	14666	6.005208	0.92	2.3	31581.0
26416	44730	1.643235	0.92	2.3	31581.0
32171	6348	2.0	0.92	2.3	24000.0
32964	25082	4.665049	0.92	2.3	31581.0
44740	30019	0.451699	1.12	2.0	52800.0
26112	35978	2.800842	1.881291	2.0	31581.0
20549	26112	3.919021	1.572944	2.0	63163.0
28053	40129	1.569	1.881291	2.0	31581.0
24862	44728	0.621128	1.12	2.0	51422.0
18086	14595	16.143023	0.8	2.3	51883.0
44731	28886	1.43464	1.12	2.0	44702.0
44716	42555	4.386066	1.881291	2.0	31581.0
7795	40757	0.074517	1.881291	2.0	31581.0
44734	40717	0.297229	0.92	2.3	31581.0
21757	17797	2.0	0.92	2.3	24000.0
7795	35261	0.156566	1.881291	2.0	63163.0
33513	44720	2.0	0.92	2.3	24000.0
21522	37430	10.101902	0.8	2.3	33129.0
26112	20549	3.919021	0.8	2.3	63163.0
19913	39449	2.0	1.881291	2.0	24000.0
39449	24136	2.0	1.881291	2.0	24000.0
44730	1882	5.867111	0.8	2.3	2400000.0
35978	26112	2.800842	1.881291	2.0	31581.0
44719	38544	0.720476	0.8	2.3	31581.0
21920	44740	0.421863	1.12	2.0	94204.0
11419	18497	5.846202	1.12	2.0	96087.0
4775	10752	13.991666	1.12	2.0	103767.0
13043	13536	0.060278	0.92	2.3	31581.0
44731	23941	1.41858	1.12	2.0	44702.0
44724	12718	1.915327	1.12	2.0	96000.0
42555	44716	4.386066	1.881291	2.0	31581.0
28886	44731	1.43464	1.12	2.0	44702.0
20569	13043	7.751419	1.881291	2.0	31581.0
30019	44740	0.451699	1.12	2.0	52800.0
44731	8162	1.432588	1.12	2.0	89404.0
44228	20815	0.996961	2.0	2.35	115200.0
1882	44730	5.867111	0.8	2.3	2400000.0
10752	4775	13.991666	0.8	2.3	103767.0
40460	12137	7.959909	0.92	2.3	31581.0
44736	31434	1.683935	1.881291	2.0	31581.0
31434	44736	1.683935	1.881291	2.0	31581.0
12554	30719	7.986699	0.8	2.3	33457.0
11293	44731	1.431306	1.12	2.0	89404.0
44728	24862	0.621128	0.8	2.3	51422.0
33046	7808	0.706567	1.881291	2.0	31581.0
33474	42563	0.031308	0.92	2.3	31581.0
18218	34533	0.041098	0.8	2.3	103767.0
12718	44724	1.915327	0.8	2.3	96000.0
12137	40460	7.959909	0.92	2.3	31581.0
44724	10365	1.831046	1.12	2.0	96000.0
44525	44723	2.0	1.881291	2.0	24000.0
23944	31847	0.087352	1.881291	2.0	31581.0
44730	26416	1.643235	0.92	2.3	31581.0
36539	44723	2.0	1.881291	2.0	24000.0
33070	32072	1.259197	1.881291	2.0	31581.0
20323	37190	2.0	0.92	2.3	24000.0
24116	44720	0.287526	0.92	2.3	31581.0
44720	24116	0.287526	1.881291	2.0	31581.0
25965	4759	0.073897	2.0	2.35	115200.0
9288	32728	2.149164	1.12	2.0	104475.0
41838	39186	2.0	1.881291	2.0	24000.0
30719	12554	7.986699	0.8	2.3	33457.0
5697	44723	2.0	1.881291	2.0	24000.0
37190	20323	2.0	1.881291	2.0	24000.0
44728	27939	0.764763	0.92	2.3	31581.0
44716	19359	0.983104	1.881291	2.0	31581.0
37430	21522	10.101902	0.8	2.3	33129.0
41849	44716	4.535031	1.881291	2.0	31581.0
14595	18086	16.143023	1.12	2.0	51883.0
4969	13696	0.586139	1.881291	2.0	31581.0
17797	21757	2.0	1.881291	2.0	24000.0
10365	44724	1.831046	1.12	2.0	96000.0
44734	10314	4.165185	1.881291	2.0	31581.0
42563	33474	0.031308	0.92	2.3	31581.0
9887	35812	2.0	0.92	2.3	24000.0
44740	28955	0.26784	1.12	2.0	51422.0
27550	20192	0.604598	2.0	2.35	115200.0
40757	7795	0.074517	1.881291	2.0	31581.0
