origin 	 dest 	 flow 	 cost
1	8285	90612	1.171854827
1	20714	7497	11.19654349
1	40540	0	6.721028
2	12852	4184	3.637401315
2	25170	47130.5906	1.449258501
2	26985	0	6.136252
2	30848	25916.96955	4.323252669
2	41601	13314.43985	5.00716095
3	7291	401	4.597221008
3	27125	637	6.26461603
4	9377	11567	3.936752762
4	22018	19309	2.346880598
5	22018	33540	2.404267319
6	37249	47491.10234	2.059033808
6	44170	8683.897658	1.785926463
7	4997	10477	3.133874359
7	17910	1477	2.827664093
7	39642	29558	3.120953258
8	5554	43537	4.059260916
8	7459	13207	5.232359616
8	25750	18	5.40009
9	10864	3325.556448	1.700848363
9	27567	5586	2.402980689
9	31344	19402.44355	2.762553039
9	38800	411	4.705312008
10	13612	0	2.50742
10	23813	35758	1.34742774
11	29897	15778	1.784876669
12	9470	2041	5.404452375
12	19422	0	3.077103
12	19673	27637	1.14107172
12	21240	0	7.0832
13	16618	21109.08412	0.698653451
13	34911	22767.91588	2.215400436
13	43619	3014	4.629602787
14	10920	172	30.42770201
14	28569	488	26.56839607
15	32857	1424	4.396335133
15	40269	0	2.95919
15	41179	17285	1.052421941
16	23744	2808	1.817101263
16	28587	18581	1.313520652
17	17414	6193	0.485715433
17	23744	0	2.609075
18	13735	22056	2.186622181
18	17414	0	6.281901
19	9205	61622	0.579053775
19	37593	20429	0.230580199
20	16470	2802.902317	2.704579389
20	20042	6722	2.940520164
20	35592	1837	1.183636064
20	35780	30211.09768	2.448216526
21	13090	9435	2.733306415
21	17793	24852	0.50476599
22	26187	0	0.497876
22	32806	13459	0.026728142
23	6682	60166	1.273414841
24	44558	13918	1.426541187
25	40455	412	15.54077103
25	40482	0	12.896158
25	43588	0	38.141582
26	20700	11843	1.210798793
26	26243	7412	1.695109284
27	18930	23222	1.607684948
27	21780	53598	0.364997546
28	7848	5204	4.276425554
28	23733	14857	2.540351941
29	5490	10016	2.705103284
29	37768	44975	2.500203998
30	32804	7612	2.942197214
30	36935	27790	1.458980076
31	38751	33290	1.033974098
31	40668	8774	2.806737574
32	5998	0	3.86807
