NewNodeID	Longitude	latitude
1	-106433489	31952085
2	-106549942	31883437
3	-104871684	31003580
4	-97981149	26141895
5	-98002086	26141420
6	-98030425	26158543
7	-98059666	26202923
8	-98086583	26146773
9	-98169414	26135052
10	-98179854	26096321
11	-98234234	26087638
12	-98263550	26125713
13	-98348580	26182875
14	-104451528	30725931
15	-98422394	26225051
16	-98468189	26236879
17	-98489592	26250215
18	-98436723	26258270
19	-98360578	26233783
20	-98311131	26176962
21	-98302949	26255041
22	-98313402	26286748
23	-98276038	26290253
24	-98261023	26257458
25	-103916099	30708946
26	-98244832	26255220
27	-98228953	26284349
28	-98218424	26327589
29	-98174865	26321091
30	-98137593	26314880
31	-98188308	26297351
32	-98145121	26270115
33	-98189606	26271339
34	-98112298	26216078
35	-98180429	26226785
36	-103861232	30601068
37	-98150931	26177920
38	-98191333	26167641
39	-98186016	26196253
40	-98179034	26204750
41	-98263536	26169131
42	-98222264	26166292
43	-98218566	26203378
44	-98252205	26205041
45	-98211162	26233744
46	-98230765	26243459
47	-104290533	30175426
48	-98256687	26234510
49	-98299110	26228726
50	-98302342	26204746
51	-98266237	26945592
52	-98248515	27217851
53	-98149643	27219770
54	-98129480	27228889
55	-97306566	25977593
56	-97313448	26069818
57	-97207608	26073228
58	-104129442	29623048
59	-97219354	26057246
60	-97166233	26105811
61	-97307954	26100792
62	-97342022	26164080
63	-97413229	26286057
64	-97442756	26150223
65	-97543573	26261975
66	-97553823	26210568
67	-97535139	26146600
68	-97709141	26276416
69	-104021209	30314306
70	-97779742	26294297
71	-97838944	26212574
72	-97382826	25887119
73	-97421675	25868092
74	-97436243	25908529
75	-97460760	25887840
76	-97517007	25892915
77	-97526393	25915612
78	-97515900	25919785
79	-97502598	25913110
80	-104025158	30306261
81	-97473642	25901459
82	-97466203	25909839
83	-97455515	25909681
84	-97438495	25925757
85	-97481024	25914704
86	-97469546	25932604
87	-97494468	25940466
88	-97502211	25932172
89	-97514673	25938822
90	-97525647	25937538
91	-104367076	29553980
92	-97446280	25959146
93	-97477682	25960932
94	-97499557	25967360
95	-97515820	25962326
96	-97531204	25958793
97	-97555332	25956233
98	-97495504	25998374
99	-97541564	25996250
100	-97585817	25989866
101	-97574191	26045434
102	-103659564	30371424
103	-97537379	26024283
104	-97633852	26052509
105	-97437057	26053858
106	-97516287	26055935
107	-97662747	26071632
108	-97703910	26091632
109	-97681029	26125389
110	-97762396	26099695
111	-97835104	26091954
112	-97844410	26142948
113	-106594574	31852944
114	-103652397	30357867
115	-97804668	26151340
116	-97748664	26164407
117	-97697519	26160048
118	-97798641	26214063
119	-97739893	26215786
120	-97695040	26234191
121	-97634160	26231064
122	-97585501	26218496
123	-97603211	26155780
124	-97636000	26200609
125	-103304567	29686683
126	-97627614	26124593
127	-97653856	26150248
128	-97664807	26178089
129	-97682934	26169630
130	-97674708	26195529
131	-97698291	26184661
132	-97680599	26208661
133	-97531340	26485185
134	-97899784	26468114
135	-103694268	29491617
136	-97821800	26404460
137	-97688989	26408405
138	-97677801	26331352
139	-97818352	26356341
140	-97663528	26477633
141	-97751162	26496580
142	-97776437	26477557
143	-97816247	26486044
144	-97790112	26485925
145	-97852084	26850451
146	-103017061	30021467
147	-97881657	27527162
148	-97876761	27497148
149	-97840781	27487706
150	-97838374	27524362
151	-97971393	27516398
152	-97875036	27318824
153	-97558122	27485129
154	-97816731	27429357
155	-98054286	27766963
156	-98053721	27734272
157	-103496652	31427305
158	-98076256	27768467
159	-98071034	27738348
160	-98087736	27741123
161	-98004057	27695527
162	-98157206	27578804
163	-98101960	27693749
164	-98157982	27719539
165	-98099270	27801460
166	-98033888	27958662
167	-98159929	27947979
168	-103504060	31419006
169	-97894027	27973718
170	-97936960	27958178
171	-98228576	27766007
172	-98157741	27359916
173	-98129807	27356291
174	-97798925	27640882
175	-97727252	27778532
176	-97661694	27615672
177	-97657581	27722964
178	-97496587	27621982
179	-103503378	31404930
180	-97386695	27613181
181	-97538016	27712048
182	-97657440	27825600
183	-97828505	27825134
184	-97917826	27790800
185	-97667409	27872150
186	-97577284	27855448
187	-97619861	27858337
188	-97803605	27582933
189	-97657541	27784802
190	-103610952	31461731
191	-97663617	27809893
192	-97487215	27825113
193	-97590272	27835167
194	-97559212	27815176
195	-97547449	27772651
196	-97521160	27802726
197	-97450991	27800139
198	-97480815	27769293
199	-97447426	27747132
200	-104863507	31102847
201	-103906952	31464175
202	-97412610	27784347
203	-97376031	27726022
204	-97401590	27751334
205	-97331204	27703957
206	-97386996	27824634
207	-97426574	27720598
208	-97405408	27679562
209	-97371835	27693957
210	-97338162	27667102
211	-97376496	27654351
212	-103443089	31273692
213	-97284743	27678134
214	-97312645	27637254
215	-97235361	27586459
216	-97232727	27609384
217	-97197969	27629432
218	-97132523	27746156
219	-97076686	27831360
220	-97522023	28108975
221	-97393341	28100193
222	-97765858	28120454
223	-106569480	31848963
224	-103644413	31033583
225	-97597725	27913216
226	-97454576	27929172
227	-97626064	27996396
228	-97743334	27984211
229	-97873747	28082901
230	-97199247	27859594
231	-97173429	27915884
232	-97159555	27903425
233	-97150793	27889251
234	-97290155	27934398
235	-103579549	31849173
236	-97380281	27987641
237	-97398855	27971552
