Node	Subnet
19893	0
11680	0
15709	0
4723	0
4771	0
22400	0
6426	0
44530	0
25445	1
14173	1
9112	1
34263	1
11713	1
26548	0
27251	0
41142	0
17410	0
6200	0
30839	0
17435	0
17788	1
18677	1
42547	1
33381	1
5273	0
4616	0
38660	0
7328	0
9221	0
30450	0
36358	1
9689	1
34742	0
15566	0
2358	0
42841	0
19359	0
19828	0
16701	1
12554	1
9160	1
15149	1
1972	0
35808	1
26236	1
20683	0
11584	0
34813	0
24344	0
18665	0
12173	0
18952	0
6623	0
4189	1
33834	0
13005	0
29416	1
17877	1
25328	0
26482	0
21338	1
29091	1
15784	0
33759	0
9039	0
31933	0
19202	1
5920	1
42480	0
33036	0
12679	0
6946	0
15143	0
13680	0
12214	0
3074	0
17687	0
29624	0
44242	0
15926	0
12126	0
39359	1
15978	1
8373	0
20928	0
39641	0
7240	0
4172	1
24802	1
42239	1
35239	1
26921	0
28332	0
25280	0
19838	0
38923	1
16810	1
39581	0
7373	0
22099	1
24877	1
33577	0
9006	0
6989	1
11340	1
36380	0
37709	0
667	0
43699	0
16596	0
23165	0
29494	0
29864	0
35359	0
4311	0
39969	0
20988	0
22754	0
35529	0
9223	0
30084	0
34425	1
11100	1
24573	0
25824	0
32110	1
38722	1
29955	0
13255	0
35747	0
35818	1
1307	1
43316	0
13596	0
12498	0
4457	0
1560	1
8418	0
9501	0
26163	0
43691	0
14887	1
20961	1
41370	1
1317	1
7827	0
26795	0
5462	0
10688	0
40122	0
18799	0
34560	0
19498	0
14819	1
8423	1
22915	0
30117	0
35674	1
29910	1
41848	0
40027	0
16286	0
25169	0
30794	0
27389	0
40143	0
34771	0
39569	0
4123	0
7653	0
7236	0
8563	0
17548	0
18704	0
36650	0
5280	0
33660	0
19623	0
6311	0
2166	0
22777	1
10054	1
3896	0
13856	0
7309	0
33846	0
25533	0
10429	0
42573	1
4252	1
8821	0
40076	0
13239	0
30596	0
6	0
44170	0
20686	0
34088	0
5878	1
26328	1
36816	0
16667	0
39096	1
1638	0
20583	0
2651	0
28911	0
44401	0
41040	0
26498	0
23653	0
15726	0
4778	1
43995	1
15905	0
34868	0
42340	1
31799	1
5802	1
17174	1
35113	0
534	1
33300	1
24946	0
25096	0
7314	0
20247	0
6921	0
40295	0
3892	0
10736	1
32894	1
32690	0
23804	0
24606	0
18071	0
34858	0
5476	0
35931	1
35408	1
25156	0
30023	0
8100	0
32497	0
5331	0
34752	0
43523	0
9646	0
29353	1
14084	1
6822	1
1507	1
43212	1
24826	1
9488	0
42725	0
14231	0
14807	0
10941	0
43522	0
16447	1
5057	1
16331	0
35732	0
32156	0
12892	0
43194	0
31102	0
38020	0
27337	0
38231	0
21244	1
23960	1
5333	1
12676	1
9326	0
23188	0
2162	0
19336	0
23931	0
3449	0
3106	0
37144	0
14221	1
1185	1
34032	1
15085	1
4076	1
32237	0
20775	0
17592	0
21887	0
5904	0
18418	0
24820	0
29585	0
436	0
23168	0
7866	0
15001	0
24584	0
10309	0
12754	0
29532	0
8184	0
29414	0
37016	1
35111	1
34422	0
17826	0
30490	0
40449	0
2481	0
30419	0
9577	1
42420	1
40394	0
35463	0
16633	0
21623	0
15957	0
34033	0
19768	1
1200	1
40320	1
19063	1
725	0
44362	0
3441	0
38385	0
40844	0
27857	0
23965	0
41400	0
42181	0
44183	0
23470	0
21932	0
2043	1
18015	1
1927	0
32077	0
43856	0
32474	0
1667	0
19110	0
31329	0
22340	0
39940	0
2735	0
41325	0
36935	0
42079	0
14539	1
17759	1
30433	0
38105	0
18684	0
7752	0
29274	1
24325	1
18635	0
31489	0
34856	0
26924	0
37735	1
35341	1
15215	0
27967	0
7613	1
19252	1
39123	1
42263	1
43857	0
7161	0
42566	1
1519	1
14695	0
15256	0
31396	0
13319	0
39739	0
735	0
28425	0
38436	0
29236	0
21488	0
17105	0
39322	0
31193	0
21605	0
27753	0
20706	1
33004	1
14389	1
9740	1
29652	1
29394	0
27763	0
4248	1
15706	1
21037	1
5341	1
4737	0
2918	0
17773	0
21051	0
23274	0
15201	0
20532	0
4499	0
39766	0
19603	0
29939	1
16758	1
36306	0
40244	0
37135	1
12696	1
21528	0
23901	0
2161	0
24186	0
20771	0
39200	0
21143	0
29464	1
19031	1
20902	1
9050	1
10052	1
23266	1
23460	1
34876	1
7996	1
16443	1
40525	0
19205	0
15435	0
25202	0
42237	1
37320	1
32323	1
23677	0
25234	0
44129	0
42882	0
40523	0
7234	0
21158	0
4293	0
35241	0
23854	0
9033	0
9247	0
33232	0
17141	1
17103	1
36887	0
22020	0
19096	0
44250	0
22176	0
40989	0
17075	0
27668	1
10949	1
13328	1
11795	1
21448	1
34581	1
36298	0
25449	0
43234	0
12613	0
42356	0
17879	0
29860	0
19251	0
9797	1
40669	1
37411	0
38321	0
5381	0
34478	0
2981	0
19379	0
33734	1
33761	1
36490	0
842	0
35306	0
39538	0
23768	1
22480	1
5195	0
34520	0
21194	0
35292	0
27613	0
18132	0
7553	0
9331	0
6453	1
44490	1
27412	1
38860	1
41240	1
