From	To	Volume	Cost
4401	335258	0	0.35721
4402	238431	12007.1934	2.984863197
4403	234454	12949.96191	2.204933721
4406	335254	5958.495755	0.316891052
4409	212385	25677.73641	2.751578589
4410	212385	15531.75354	0
4410	315082	9362.78875	0
4411	208182	0	7.342989
4414	335250	5714.169648	0.515317382
4415	200165	652.110921	5.159172026
4416	238441	36020.83133	1.60539508
4417	207997	4648.933613	1.705401786
4417	4843	4881.183686	1.698235875
4419	335246	4687.584308	0.331526156
4421	238434	10469.99896	1.245461714
4423	238436	295.70215	2.389694002
4424	335243	6856.400943	0.359147404
4425	204352	588.121306	5.805930023
4426	335242	2822.929525	0.307687045
4427	335239	28691.82688	0.041506258
4430	238439	11342.91152	1.025361676
4431	335256	0	0.446768
4432	335249	0	0.446326
4503	363944	1731.887458	0
4507	4510	0	8.775957
4507	237101	1299.811863	9.488121413
4510	202187	1910.708275	3.947323737
4510	202188	0.000104	10.247643
4513	206578	178.286889	13.55293355
4518	232512	10371.10508	0.47452193
4519	234766	1331.901648	0.691693869
4521	360659	2602.001864	0.812182536
4522	203486	365.369134	0.225542755
4529	232509	367.092911	2.006141809
4530	4529	0	11.585496
4565	335224	39940.88028	0.168900334
4567	4858	2556.087094	0.099462582
4572	24231	0	5.612477
4577	335222	44562.5482	0.054869065
4604	205052	697.535155	14.28105678
4604	22254	0	38.219204
4605	202109	3618.425548	15.60223611
4606	202169	6488.704328	3.096566396
4607	202170	672.831883	3.041208205
4608	4507	0	7.11786
4608	202172	2121.750125	11.75901379
4609	200586	57.672304	5.233012831
4609	202197	145.56978	14.2784037
4610	200586	216.391959	0.01857164
4611	200588	459.813213	1.730582
4612	315872	108.180635	8.490363695
4613	206511	94.652385	8.28393499
4614	206512	310.987609	9.216934586
4615	206597	1622.5065	7.60937924
4616	206598	337.974768	8.47193683
4617	206615	3509.927231	4.184252343
4618	206625	550.937206	3.163899433
4619	206640	115.60522	14.22314458
4620	206775	1399.496132	8.844075352
4621	206776	48.344469	9.148422821
4703	209308	0	20.400707
4704	209934	0	13.435527
4705	210235	0	9.343284
4706	208658	42.171706	5.894382
4707	213274	0	17.01689
4822	238437	0	0.661811
4823	204198	9392.606751	3.708697929
4832	238436	0	0.541133
4833	206440	6497.546156	0.237130168
4838	206612	18102.34015	1.065178466
4838	4839	1343.286216	0.301368737
4839	206614	8207.544553	0.305056435
4843	207998	4881.183686	0.60229419
4844	238441	0	0.162849
4846	238434	0	0.256962
4849	335223	4927.652824	0.366932403
4850	4571	4478.08711	5.810009416
4851	4576	4195.895434	0.085371372
4858	232377	2556.087094	2.384860363
4860	335232	32731.56784	0.678718721
4872	4552	12823.74374	0.671020932
20001	204382	1981.044485	6.721028435
20002	335290	18647.40445	3.637440909
20003	204314	1006.860113	6.264616086
20003	204063	888.682846	4.597221047
20004	212747	29705.82334	3.936867204
20005	212738	48512.17179	2.404406795
20007	236681	8624.737778	2.827669398
20008	212764	4677.129467	4.058941897
20008	212768	44341.28655	5.400535312
20009	236677	3509.162978	4.705313135
20009	212780	3677.850938	1.700848457
20012	212416	43662.11323	7.083763734
20012	212415	6380.966014	3.077105938
20012	212632	2824.261393	1.141040167
20013	211700	7018.562569	4.629607502
20013	236664	40100.86911	2.215505978
20014	237149	376.626759	26.56839604
20015	236663	14386.70825	1.052418518
20016	236662	26934.35741	1.313540414
20017	211685	8236.092805	0.485715834
20020	236665	45892.83118	2.4483515
20021	236674	24099.60867	0.50476524
20022	212829	14659.4733	0.026728173
20025	204859	1298.487119	15.54077138
20026	236673	15071.82173	1.210802346
20027	212680	49372.96877	1.607824755
20028	212339	6671.240851	4.276427522
20029	212340	36488.9385	2.500122678
20029	212358	84954.95832	2.706091224
20031	212336	58082.84733	1.034088637
20032	211284	0	3.86807
20033	212337	54514.37432	0.792596093
20035	212683	92666.31318	1.106930107
20037	212782	40289.98962	3.343358163
20037	236676	6105.77664	5.629032856
20038	236680	46023.95332	0.382839391
20039	212672	122266.4589	0.904942534
20039	212673	5093.09157	0.449892256
20040	212675	9897.668533	0.395092035
20041	212421	121236.2215	4.177133165
20042	212426	43535.80496	4.056253658
20042	212634	53302.658	2.273165222
20043	212661	38341.43916	2.359775279
20043	212662	31148.54691	2.395490678
20043	236672	18770.11687	1.048541972
20044	236669	111847.8545	3.711801809
20044	236670	22193.89968	1.44829731
20045	212676	103287.1141	0.892422316
20046	212677	77807.37499	1.320147683
20047	204022	913.602984	28.62334431
20048	212827	33544.11738	2.459797758
20051	211267	36.972543	17.8379
20051	335321	772.059805	16.15334512
20052	211280	0	9.168936
20052	211278	3443.166498	6.793016569
