origin 	 dest 	 flow 	 cost
2021	2024	10411.552063781503	12.28301371160499
2013	2012	12300.0	3.0228886641039363
2005	2006	8796.741859239663	9.994065279512562
2005	2004	19036.116688564853	2.393944179273258
1021	1020	6096.857988633048	7.897120227748289
2005	2009	16103.41673654425	10.043515869921531
1021	1022	8610.182214978333	4.203909425655809
2021	2022	8604.168032828864	4.197758182252894
2021	2020	6323.59037723397	8.195459636612688
2018	2007	16072.720459147124	2.066735599454692
2008	2016	8449.22603428748	10.896591919525779
1013	1012	12361.27288864067	3.0233481662109813
2008	2007	12214.745559886647	5.64901648332566
2008	2006	12779.876905670057	15.897747155749256
2018	2020	19111.657026744266	4.26682306472917
2018	2016	15689.281385627864	3.1817747112178156
1013	1024	11138.727111359329	17.746549995761256
1018	1016	15707.594557018798	3.1826248978613845
1018	1020	18865.07332283358	4.253316795766236
2008	2009	6856.787785447913	15.09732279593052
1003	1012	10160.054484879856	4.021311506143852
2023	2014	8385.393544660119	9.043058092787172
1010	1015	23316.2959313243	13.979983602842584
1003	1001	8243.558846088661	4.009236107217117
1010	1009	21598.436941985863	5.611382787064914
1021	1024	10289.353356029353	11.854813512024155
1010	1011	17736.988162536927	12.423022349031728
1003	1004	14645.38526114055	4.322033641203529
1021	2	299.99999999999994	4.000007776
2015	2010	23043.188386143036	13.612618137076153
1010	1017	8100.000000000003	16.308017150740433
2015	2014	9160.809888277981	12.641264272905124
1007	2012	499.9999999999999	8.000925925925927
1010	1016	11103.526319244314	20.416004438331637
1018	1007	16267.15232322699	2.0700238739472128
2011	2012	8719.578642725479	14.960117278037893
2003	2001	8050.176300591805	4.008399463793185
2015	2019	18916.46479378077	4.280441985029152
2011	2014	9823.685097638532	13.881277914930855
2003	2004	14426.702249533588	4.303225914104715
2015	2022	18468.207346493193	9.165592773367841
1023	1022	9727.076813860842	12.594104198267832
2023	2024	7989.942886498301	3.8380242694685274
2011	2010	17624.765411769273	12.236934536166501
2023	2022	9687.02441582284	12.453427075008042
2011	2004	5300.0	7.2230245551941366
2003	2012	12178.926406994706	4.044001351968971
1023	1014	8459.051869864947	9.222601916933739
1006	1008	12633.005805444709	15.269803932832687
1007	1008	12367.152323226983	5.783721611747312
1006	1005	8816.421070358787	10.047882884448647
1015	1022	18388.63049088794	9.060011015496947
1006	1002	6028.698047616767	6.639328205177176
1015	1019	19444.786349968275	4.429593954353173
1007	1018	15609.298124474755	2.05936541411512
1015	1014	9018.071924225216	12.176034486144935
1015	1010	22839.709951292138	13.347271719404866
2006	2005	8810.523533490648	10.031716760146496
1012	1003	10361.68002162532	4.023054234314713
2006	2002	6142.80971842973	6.767014170155573
2020	2018	19174.53582574122	4.270351904646561
1020	1021	6241.813161492202	8.084076209104666
2020	2019	8642.985093806588	9.345896730169368
1020	1022	7000.000000000004	7.713130000305233
2020	2022	7000.000000000003	7.713130000305231
2006	2008	12646.918159831474	15.328355130227724
1020	1018	19698.296432544004	4.301123514610736
2020	2021	6389.2208387658975	8.288032216702938
1020	1019	9298.561556089006	11.16190557334393
1	2001	1200.0	4.001990656
1023	1024	8117.939940243674	3.9586637132859788
1012	1011	8499.592867015344	14.089546798282935
1001	1003	8555.962133220659	4.010717794139911
1012	1013	12392.706703726964	3.0235865643629323
1001	1002	4643.558846088661	6.000929894780497
2017	2010	8099.999999999998	16.30801715074041
2009	2008	6917.053434342654	15.27890474576921
2009	2010	21986.36330220163	5.804108705694928
2017	2016	11656.286705165321	9.402616602610859
2017	2019	9949.782752520845	7.429554012289186
1004	1011	5500.0	7.418346875225139
1	1002	300.0	5.00000972
2009	2005	16699.049501324615	10.832144447155194
1009	1005	15787.671281300407	9.659438292259088
1004	1003	14131.356437263092	4.279147307324465
1009	1010	21906.85067947099	5.763764524931816
2022	2015	18391.016078105968	9.0631563282062
1009	1008	6921.823536709652	15.2934814587802
1017	1019	9993.282338565135	7.525128654172206
1004	1005	18345.38526114059	2.339804089314391
1017	1016	11706.717661434861	9.531560167914979
2014	2011	9815.70489958651	13.849209085102519
1017	1010	8100.0	16.308017150740422
2001	2003	9369.3533721794	4.01541233612519
2014	2015	9110.116865969354	12.473525678273633
2001	2002	4650.176300591809	6.0009352068293405
1022	1015	18482.817252861376	9.18512594788854
2004	2003	15036.116688564978	4.3578003733761665
2012	2013	14798.505049720186	3.0479591392737833
2004	2005	18426.70224953355	2.3458690714197252
2012	2011	8549.665103624278	14.281864334029608
2014	2023	8444.066765020767	9.185693040730818
2022	2021	8622.331225015605	4.2163746862277955
1022	1023	9595.532072328622	12.138558293580916
2022	2020	7000.000000000005	7.7131300003052345
2004	2011	5200.0	7.133300480179894
1022	1021	8647.540194537147	4.242408494842742
2022	2023	9746.052492023344	12.661362546685634
1022	1020	7000.000000000001	7.713130000305229
2012	2003	10250.33489637572	4.022079143140145
1014	1023	8376.849643892894	9.022535940971373
2007	2018	16016.240510166459	2.0658024899552565
2019	2015	19071.167397243487	4.322845465282243
1014	1011	9751.558308523858	13.594259741479652
1014	1015	9135.337137591077	12.556628229222637
1019	1015	18656.74839459679	4.211556909740953
2019	2017	9966.5708885292	7.466291719101523
1011	1004	5300.0	7.2230245551941366
1019	1017	9903.142011366954	7.328461008907218
2019	2020	8671.494354335508	9.416781178084225
2024	2013	11301.494950279817	18.56783588235785
2007	2008	12271.225508867306	5.698352668817714
1019	1020	8676.73983865866	9.429899762532862
1011	1014	9786.621295917668	13.732995366552608
1002	1001	4955.962133220651	6.001206540524899
1011	1012	8332.6522188471	13.472479326738874
1011	1010	17668.865823311306	12.30963942572571
1002	1006	6016.294760484777	6.625878936209118
2010	2017	8100.0	16.308017150740422
2010	2016	11095.973234811121	20.37138257493991
2016	2008	8465.439182250684	10.941982039179958
2013	2	1200.0	5.00248832
2016	2010	11002.947072872616	19.82923224534504
2010	2011	18002.659148922517	12.87785347801882
2010	2009	22742.261715876728	6.210080016606619
2013	1020	1500.0	5.0029296875
2010	2015	23416.370073376198	14.117869327973427
2016	2017	11639.498569156965	9.36006174464551
1024	1023	8031.686907747939	3.8767378958638012
2016	2018	15582.882535611525	3.1768937312824495
1024	1021	10407.040203611377	12.26693294212072
1008	1006	12672.383203579438	15.436028361747473
1005	1009	16028.674216180623	9.95052970872903
1008	1007	12209.298124474752	5.644294094079035
1024	1013	11007.293296273034	17.10912225270286
1005	1004	18131.35643726312	2.3242219677124893
1008	1009	7089.23433931468	15.824472953937034
1005	1006	8789.446959356048	9.97420713404983
1016	1018	15432.225646060546	3.170151395082224
2024	2021	10327.758410062843	11.987758037659951
1016	1017	11796.85798863304	9.766221594926353
2013	2024	11200.000000000004	18.05152788497064
2024	2023	7872.241589937162	3.7320889711390075
2002	2006	6023.632646842133	6.633825594414464
1008	1016	8445.531217679618	10.886284448105826
1016	1010	11239.8209010169	21.236985643369735
1016	1008	8494.46521966711	11.023896878889254
2002	2001	4769.3533721794065	6.001034827596117
