~,Tail,Head,Capacity (veh/h),Length,Free Flow Time,B,Power,Speed,Toll ,Type,;
,203213,203212,88503,13.644084,11.214315,1.12,2,70,0,2,
,21254,200811,2400000,8.257883,16.515766,0.8,2.3,30,0,2,
,203966,202226,33129,5.153424,5.331128,0.8,2.3,55,0,2,
,21138,236959,2400000,9.964656,19.929312,0.8,2.3,30,0,2,
,22110,201357,2400000,5.260565,10.521131,0.8,2.3,30,0,2,
,22154,201358,2400000,5.576633,11.153268,0.8,2.3,30,0,2,
,202612,201365,33457,12.500782,16.667709,1.572944,2,40,0,2,
,22154,202635,2400000,13.034607,26.069214,0.8,2.3,30,0,2,
,21945,235008,2400000,5.414946,10.829892,0.8,2.3,30,0,2,
,234961,21929,2400000,4.385328,8.770657,0.8,2.3,30,0,2,
,201466,234964,31581,4.435183,5.020962,0.92,2.3,50,0,2,
,201442,201443,31581,2.438183,2.522259,0.92,2.3,55,0,2,
,234961,201426,42840,3.296937,3.410625,1.12,2,55,0,2,
,21980,203422,2400000,3.678141,7.356283,0.8,2.3,30,0,2,
,201423,201419,31581,2.099398,2.171792,0.92,2.3,55,0,2,
,201208,201063,31581,3.901732,4.107087,0.92,2.3,54,0,2,
,202388,202391,33457,2.525167,3.0302,1.572944,2,45,0,2,
,21951,201507,2400000,0.89031,1.780619,0.8,2.3,30,0,2,
,21951,235033,2400000,3.359412,6.718824,0.8,2.3,30,0,2,
,201514,201508,31581,4.580966,4.73893,1.881291,2,55,0,2,
,202516,202518,33129,0.876938,0.907177,1.881291,2,55,0,2,
,202519,202518,31581,1.926341,1.992767,1.881291,2,55,0,2,
,202560,201230,0,3.927132,0,1.881291,2,0,0,2,
,234943,21907,2400000,4.188318,8.376636,0.8,2.3,30,0,2,
,202285,202284,79242,0.410416,0.492499,0.8,2.3,45,0,2,
,201343,201344,31581,4.406692,4.558646,0.92,2.3,55,0,2,
,201303,201304,31581,4.921605,4.045154,1.881291,2,70,0,2,
,202661,21907,2400000,9.40743,18.814859,0.8,2.3,30,0,2,
,234942,21907,2400000,9.995642,19.991283,0.8,2.3,30,0,2,
,202663,21908,0,2.768231,0,0.8,2.3,30,0,2,
,202664,201251,0,2.891189,0,0.92,2.3,55,0,2,
,234942,202669,31581,4.134992,4.961991,1.881291,2,45,0,2,
,203522,203521,33129,15.134194,15.656063,1.572944,2,55,0,2,
,203533,203530,85679,13.525276,13.991666,0.8,2.3,55,0,2,
,200538,202241,0,6.059445,0,1.881291,2,55,0,2,
,201276,201277,31581,4.033916,4.173017,1.881291,2,55,0,2,
,201280,235005,31581,2.022206,2.091937,0.92,2.3,55,0,2,
,202668,201253,33129,6.978838,6.157798,0.92,2.3,65,0,2,
,202705,201258,31581,7.096369,7.341072,0.92,2.3,55,0,2,
,202164,202165,66915,14.351789,14.846678,0.8,2.3,55,0,2,
,234950,21905,2400000,12.842393,25.684786,0.8,2.3,30,0,2,
,201229,201230,0,1.342652,0,1.881291,2,0,0,2,
,201229,201232,31581,1.716212,1.775392,1.881291,2,55,0,2,
,201208,21900,2400000,5.746447,11.492894,0.8,2.3,30,0,2,
,201213,201209,31581,1.928678,1.995184,1.881291,2,55,0,2,
,234918,200008,31581,3.393683,3.510706,0.92,2.3,55,0,2,
,200102,200103,66259,5.932483,6.137052,1.572944,2,55,0,2,
,21242,200868,2400000,2.647567,5.295134,0.8,2.3,30,0,2,
,21242,237065,2400000,3.843552,7.687104,0.8,2.3,30,0,2,
,203587,203588,31581,5.253016,5.434155,1.881291,2,55,0,2,
,200123,200115,85679,6.28859,6.505438,1.12,2,55,0,2,
,200123,200124,31581,12.864185,13.307778,0.92,2.3,55,0,2,
,201396,236816,85679,1.245426,1.310974,0.8,2.3,55,0,2,
,22110,201353,2400000,9.6062,19.2124,0.8,2.3,30,0,2,
,201276,21920,2400000,1.898221,3.796441,0.8,2.3,30,0,2,
,235004,21920,2400000,4.055906,8.111813,0.8,2.3,30,0,2,
,202743,21920,2400000,4.144643,8.289287,0.8,2.3,30,0,2,
,237073,201042,31581,3.34609,3.5222,1.881291,2,55,0,2,
,201056,201014,31581,1.666892,1.754623,1.881291,2,55,0,2,
,201057,201058,66915,6.219359,6.43382,1.572944,2,55,0,2,
,202771,21939,2400000,2.343077,4.686154,0.8,2.3,30,0,2,
,202771,202772,31581,3.548468,3.670829,1.881291,2,55,0,2,
,202784,202785,85679,3.164342,3.273458,0.8,2.3,55,0,2,
,200060,200059,42840,5.08297,5.258245,1.12,2,55,0,2,
,201948,200718,33017,1.290428,1.488955,1.881291,2,55,0,2,
,201964,200718,66915,0.621366,0.677854,1.572944,2,55,0,2,
,202997,201563,31581,1.639077,1.788084,0.92,2.3,55,0,2,
,202999,234741,31581,3.313475,4.229968,0.92,2.3,45,0,2,
,202991,201547,42840,3.704877,3.832631,0.8,2.3,55,0,2,
,201547,234740,31581,2.494334,2.580345,0.92,2.3,55,0,2,
