From	To	Volume	Cost
3	13908	0	20.400707
4	14533	0	13.435527
5	14832	0	9.343284
6	13259	42.171706	5.894382
7	17866	0	17.01689
9	9202	1981.044485	6.721028435
10	42240	18647.40445	3.637440909
11	9168	1006.860113	6.264616086
11	8923	888.682846	4.597221047
12	17339	29705.82334	3.936867204
13	17330	48512.17179	2.404406795
15	40724	8624.737778	2.827669398
16	17360	44341.28655	5.400535312
16	17356	4677.129467	4.058941897
17	40720	3509.162978	4.705313135
17	17372	3677.850938	1.700848457
20	17224	2824.261393	1.141040167
20	17008	43662.11323	7.083763734
20	17007	6380.966014	3.077105938
21	40707	40100.86911	2.215505978
21	16295	7018.562569	4.629607502
22	41191	376.626759	26.56839604
23	40706	14386.70825	1.052418518
24	40705	26934.35741	1.313540414
25	16280	8236.092805	0.485715834
28	40708	45892.83118	2.4483515
29	40717	24099.60867	0.50476524
30	17421	14659.4733	0.026728173
33	9627	1298.487119	15.54077138
34	40716	15071.82173	1.210802346
35	17272	49372.96877	1.607824755
36	16932	6671.240851	4.276427522
37	16951	84954.95832	2.706091224
37	16933	36488.9385	2.500122678
39	16929	58082.84733	1.034088637
40	15879	0	3.86807
41	16930	54514.37432	0.792596093
43	17275	92666.31318	1.106930107
45	40719	6105.77664	5.629032856
45	17374	40289.98962	3.343358163
46	40723	46023.95332	0.382839391
47	17265	5093.09157	0.449892256
47	17264	122266.4589	0.904942534
48	17267	9897.668533	0.395092035
49	17013	121236.2215	4.177133165
50	17226	53302.658	2.273165222
50	17018	43535.80496	4.056253658
51	40715	18770.11687	1.048541972
51	17254	31148.54691	2.395490678
51	17253	38341.43916	2.359775279
52	40713	22193.89968	1.44829731
52	40712	111847.8545	3.711801809
53	17268	103287.1141	0.892422316
54	17269	77807.37499	1.320147683
55	8884	913.602984	28.62334431
56	17419	33544.11738	2.459797758
59	42271	772.059805	16.15334512
59	15862	36.972543	17.8379
60	15875	0	9.168936
60	15873	3443.166498	6.793016569
61	16955	16878.27383	0.59040028
61	16954	7955.440993	1.148970822
62	16959	2163.793575	1.485205118
63	40744	17972.80917	2.828377225
63	15939	20144.33936	2.378337947
64	40745	1634.529202	4.754604198
64	17322	20525.01938	9.623038947
68	15950	0	3.702515
69	17324	4113.728817	2.922931017
69	17322	10187.56908	1.646889611
70	17323	3942.227439	8.642488726
73	40757	1820.141436	2.419887129
73	15955	9375.921569	10.47110422
74	40755	1062.133306	11.18387717
74	40754	4295.953202	5.785941223
75	40751	6942.068571	5.029963829
75	16318	3259.767754	5.422630104
76	40756	307.238156	6.059259005
76	17060	4545.052561	15.06786159
78	40776	8337.018289	1.743547079
79	40733	9305.058086	1.795630082
81	17466	19738.45332	4.343323673
82	17282	19722.49779	1.165914917
82	17281	21874.77918	0.512176315
83	17466	22724.89448	3.496863977
84	40742	6765.92403	1.991651176
85	17108	22465.21284	1.191266563
86	17240	51283.96141	1.762011011
88	40743	16927.22587	1.355714204
88	17463	28757.45711	1.414149074
90	17469	40636.56622	0.904285008
91	17285	12032.27623	2.819083575
92	17464	25803.25629	1.219077939
93	17284	70768.98001	2.02584549
95	17240	35559.13806	1.466141769
96	17109	10686.16469	2.109792594
98	41190	188.533393	0.905274
98	8978	9477.978611	2.113868013
99	17302	9910.454511	3.27638961
100	40741	9777.951497	3.672617357
100	17298	14387.63544	1.605098942
105	17299	23603.94769	1.631147547
105	17298	35073.5496	2.626793317
106	40748	2903.754322	2.419070378
106	17186	3867.771869	2.48326775
108	40740	5439.312556	2.99395598
109	10219	13378.53507	1.676941787
110	17191	7187.830038	0.819892029
111	40738	14643.04753	1.394162992
