<NUMBER OF ZONES> 4541											
<NUMBER OF NODES> 4541											
<FIRST THRU NODE> 4542											
<NUMBER OF LINKS> 61461											
<END OF METADATA>											
											
											
~	Init Node	Term Node	Capacity	Length	Free Flow Time	B	Power	Speed limit	Toll 	Type	;
	3	13908	2400000	10.200354	20.400707	0.8	2.3	30	0	2	;
	4	14533	2400000	4.478509	13.435527	0.8	2.3	20	0	2	;
	5	14832	2400000	4.671642	9.343284	0.8	2.3	30	0	2	;
	6	13259	2400000	2.645417	5.894382	0.8	2.3	30	0	2	;
	7	17866	2400000	8.508445	17.01689	0.8	2.3	30	0	2	;
	9	9202	2400000	2.800429	6.721028	0.8	2.3	25	0	2	;
	10	42240	2400000	1.515583	3.6374	0.8	2.3	25	0	2	;
	11	9168	2400000	2.298611	4.597221	0.8	2.3	30	0	2	;
	11	8923	2400000	3.132308	6.264616	0.8	2.3	30	0	2	;
	12	17339	2400000	1.637213	3.936738	0.8	2.3	25	0	2	;
	13	17330	2400000	1.114172	2.404163	0.8	2.3	25	0	2	;
	15	40724	2400000	1.413832	2.827664	0.8	2.3	30	0	2	;
	16	17360	2400000	2.02947	4.05894	0.8	2.3	30	0	2	;
	16	17356	2400000	2.700045	5.40009	0.8	2.3	30	0	2	;
	17	40720	2400000	0.850424	1.700848	0.8	2.3	30	0	2	;
	17	17372	2400000	2.352656	4.705312	0.8	2.3	30	0	2	;
	20	17224	2400000	2.951333	7.0832	0.8	2.3	25	0	2	;
	20	17008	2400000	0.475433	1.14104	0.8	2.3	25	0	2	;
	20	17007	2400000	1.282126	3.077103	0.8	2.3	25	0	2	;
	21	40707	2400000	1.107681	2.215361	0.8	2.3	30	0	2	;
	21	16295	2400000	2.314801	4.629602	0.8	2.3	30	0	2	;
	22	41191	2400000	13.284198	26.568396	0.8	2.3	30	0	2	;
	23	40706	2400000	0.526206	1.052412	0.8	2.3	30	0	2	;
	24	40705	2400000	0.656753	1.313506	0.8	2.3	30	0	2	;
	25	16280	2400000	0.242857	0.485715	0.8	2.3	30	0	2	;
	28	40708	2400000	1.224067	2.448133	0.8	2.3	30	0	2	;
	29	40717	2400000	0.252377	0.504755	0.8	2.3	30	0	2	;
	30	17421	2400000	0.013364	0.026728	0.8	2.3	30	0	2	;
	33	9627	2400000	7.770385	15.540771	0.8	2.3	30	0	2	;
	34	40716	2400000	0.504498	1.210794	0.8	2.3	25	0	2	;
	35	17272	2400000	0.803827	1.607655	0.8	2.3	30	0	2	;
	36	16932	2400000	2.138211	4.276423	0.8	2.3	30	0	2	;
	37	16951	2400000	1.249995	2.499991	0.8	2.3	30	0	2	;
